Step;TotalFishCaught;AverageFishCaughtPerDolphin;AverageDistanceToFish
78;22;4.4;3.54640692512989
79;22;4.4;3.1888355297029527
80;22;4.4;3.1656854249492383
81;22;4.4;3.1888355297029527
82;22;4.4;3.2828427124746193
83;22;4.4;2.918910689974409
84;22;4.4;2.801753402449028
85;22;4.4;2.452481651360559
86;22;4.4;3.0360679774997896
87;22;4.4;2.918910689974409
88;22;4.4;3.4
89;22;4.4;2.9066254070931636
90;22;4.4;3.1567060878452153
91;22;4.4;2.9066254070931636
92;22;4.4;3.1567060878452153
93;22;4.4;2.801753402449028
94;22;4.4;2.801753402449028
95;22;4.4;2.692817836698797
96;23;4.6;3.3740043407076974
97;23;4.6;5.535254035680837
98;23;4.6;5.82842712474619
99;23;4.6;5.6627416997969515
100;23;4.6;5.6355608942698305
101;23;4.6;5.7527181817952115
102;23;4.6;5.662741699796952
103;23;4.6;5.518798161735273
104;24;4.8;5.868985608173232
105;24;4.8;5.386558262996915
106;24;4.8;5.297056274847714
107;24;4.8;4.820872838047677
108;24;4.8;5.020457470749375
109;24;4.8;4.221347331896736
110;24;4.8;4.261866018398182
111;24;4.8;3.6270169353138177
112;24;4.8;3.7441742228391997
113;25;5.0;3.4069965480959787
114;25;5.0;4.481135413083137
115;25;5.0;4.355758701364495
116;25;5.0;4.845793413008001
117;25;5.0;4.379023305923563
118;25;5.0;5.141377976738453
119;25;5.0;4.379023305923563
120;25;5.0;4.505748859763792
121;26;5.2;4.705748859763792
122;26;5.2;4.805551275463989
123;26;5.2;4.51829634779728
124;26;5.2;4.51829634779728
125;27;5.4;4.25605646193832
126;27;5.4;4.460009429505737
127;27;5.4;4.050350409721665
128;27;5.4;3.6859795266963267
129;27;5.4;3.8031368142217077
130;27;5.4;4.029249637604509
131;27;5.4;3.885979526696327
132;27;5.4;3.885979526696327
133;28;5.6;3.6485281374238574
134;28;5.6;4.385489327667796
135;28;5.6;4.166105433177488
136;28;5.6;4.594935062553747
137;28;5.6;4.392702360263057
138;28;5.6;4.429249637604508
139;28;5.6;3.912092350079128
140;30;6.0;4.2796270217045596
